City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Nautla,MX,2022-05-17 03:13:01,20.2167,-96.7833,78.04,79,0,10.18
68,Georgetown,MY,2022-05-17 03:13:02,5.4112,100.3354,85.95,70,20,3.44
69,Katangli,RU,2022-05-17 03:13:02,51.7102,143.2326,37.85,99,96,5.91
70,Nikolskoye,RU,2022-05-17 03:13:03,59.7035,30.7861,44.87,93,100,5.66
71,Elko,US,2022-05-17 03:13:03,41.0002,-115.5012,69.82,20,98,11.99
72,Bambous Virieux,MU,2022-05-17 03:08:39,-20.3428,57.7575,72.21,75,83,14.74
73,Ancud,CL,2022-05-17 03:13:04,-41.8697,-73.8203,45.91,74,99,7.92
74,Hobart,AU,2022-05-17 03:12:39,-42.8794,147.3294,57.06,61,75,13.8
75,Wagar,SD,2022-05-17 03:13:05,16.1525,36.2032,86.49,18,2,4.36
76,Mar Del Plata,AR,2022-05-17 03:11:47,-38.0023,-57.5575,55.42,79,100,23.02
77,Kirkkonummi,FI,2022-05-17 03:13:06,60.1238,24.4385,42.12,78,17,13.56
78,Lazaro Cardenas,MX,2022-05-17 03:12:35,17.9583,-102.2,78.6,67,11,5.23
79,Salalah,OM,2022-05-17 03:13:07,17.0151,54.0924,82.49,74,40,5.75
80,Boshnyakovo,RU,2022-05-17 03:13:07,49.6333,142.1667,45.66,85,77,6.67
81,Dzilam Gonzalez,MX,2022-05-17 03:13:08,21.2833,-88.9333,74.77,79,0,5.68
82,Lagoa,PT,2022-05-17 03:13:08,39.05,-27.9833,57.65,60,100,27.54
83,Porto Torres,IT,2022-05-17 03:13:09,40.835,8.3972,57.38,67,100,2.8
84,Aykhal,RU,2022-05-17 03:13:10,66.0,111.5,35.22,82,97,8.63
85,Namwala,ZM,2022-05-17 03:13:11,-15.7504,26.4384,51.66,82,0,4.74
86,Clyde River,CA,2022-05-17 03:13:11,70.4692,-68.5914,14.2,93,9,3.96
87,Baruun-Urt,MN,2022-05-17 03:13:12,46.6806,113.2792,65.44,20,4,12.75
88,Ambilobe,MG,2022-05-17 03:13:13,-13.2,49.05,67.62,90,4,3.2
89,Hithadhoo,MV,2022-05-17 03:09:05,-0.6,73.0833,84.4,73,100,17.0
90,Hermanus,ZA,2022-05-17 03:13:14,-34.4187,19.2345,63.82,61,62,3.18
91,Lyuban,BY,2022-05-17 03:14:14,52.7985,28.0048,38.17,89,5,8.08
92,Acajutla,SV,2022-05-17 03:14:15,13.5928,-89.8275,82.74,80,13,4.63
93,Beyneu,KZ,2022-05-17 03:17:50,45.3167,55.2,64.49,60,100,8.48
94,Urumqi,CN,2022-05-17 03:14:01,43.801,87.6005,70.75,35,0,4.47
95,Sorong,ID,2022-05-17 03:17:51,-0.8833,131.25,82.81,76,59,1.39
96,Hilo,US,2022-05-17 03:17:19,19.7297,-155.09,78.28,93,100,6.91
97,Viransehir,TR,2022-05-17 03:17:52,37.2353,39.7631,62.04,46,0,3.02
98,Srednekolymsk,RU,2022-05-17 03:17:52,67.45,153.6833,49.51,61,22,5.68
99,Tuktoyaktuk,CA,2022-05-17 03:17:53,69.4541,-133.0374,30.2,93,75,10.36
100,Semey,KZ,2022-05-17 03:14:19,50.4111,80.2275,71.82,43,0,6.71
101,Waddan,LY,2022-05-17 03:14:19,29.1614,16.139,74.05,21,2,5.64
102,Moron,AR,2022-05-17 03:14:20,-34.6534,-58.6198,49.86,71,100,13.8
103,Yulara,AU,2022-05-17 03:14:21,-25.2406,130.9889,74.7,24,83,14.94
104,Sompeta,IN,2022-05-17 03:14:22,18.9333,84.6,88.88,66,4,11.92
105,Derzhavinsk,KZ,2022-05-17 03:14:23,51.1,66.3167,61.0,55,54,13.09
106,Liku,ID,2022-05-17 03:14:23,-0.7275,119.8922,87.94,62,96,2.59
107,Bandarbeyla,SO,2022-05-17 03:14:24,9.4942,50.8122,82.45,71,30,20.36
108,Tura,IN,2022-05-17 03:13:09,25.5198,90.2201,78.22,90,88,7.16
109,Butaritari,KI,2022-05-17 03:14:25,3.0707,172.7902,83.32,68,68,10.89
110,Kruisfontein,ZA,2022-05-17 03:14:25,-34.0033,24.7314,63.91,29,0,11.68
111,Castro,BR,2022-05-17 03:14:26,-24.7911,-50.0119,41.5,86,0,7.4
112,Constitucion,CL,2022-05-17 03:14:26,-35.3333,-72.4167,53.49,69,3,4.29
113,Tasiilaq,GL,2022-05-17 03:14:27,65.6145,-37.6368,39.36,98,100,5.41
114,Lac Du Bonnet,CA,2022-05-17 03:14:28,50.2536,-96.0612,37.49,82,31,4.79
115,Saint George,US,2022-05-17 03:10:57,37.1041,-113.5841,90.19,7,0,9.22
116,Walvis Bay,NA,2022-05-17 03:14:28,-22.9575,14.5053,72.82,31,5,8.48
117,Ostrovnoy,RU,2022-05-17 03:14:29,68.0531,39.5131,36.36,89,100,18.88
118,Kainan,JP,2022-05-17 03:14:29,34.15,135.2,67.48,71,100,4.88
119,Bokoro,TD,2022-05-17 03:14:30,12.3807,17.0568,91.9,33,84,4.12
120,Segou,ML,2022-05-17 03:14:31,13.4317,-6.2157,91.06,32,67,4.72
121,Muros,ES,2022-05-17 03:14:31,42.7762,-9.0603,63.09,94,100,18.41
122,Husavik,IS,2022-05-17 03:14:32,66.0449,-17.3389,46.96,78,36,9.64
123,Te Anau,NZ,2022-05-17 03:14:32,-45.4167,167.7167,51.24,80,75,3.44
124,Klaksvik,FO,2022-05-17 03:13:47,62.2266,-6.589,47.32,92,99,21.99
125,Mount Gambier,AU,2022-05-17 03:14:33,-37.8333,140.7667,57.61,58,76,12.3
126,Nador,MA,2022-05-17 03:14:34,35.174,-2.9287,62.85,59,100,5.75
127,Kununurra,AU,2022-05-17 03:09:40,-15.7667,128.7333,93.18,26,6,10.36
128,Skibbereen,IE,2022-05-17 03:14:34,51.55,-9.2667,57.11,86,92,20.15
129,Vershino-Darasunskiy,RU,2022-05-17 03:14:35,52.35,115.5167,62.04,22,8,7.45
130,Kilindoni,TZ,2022-05-17 03:14:35,-7.9139,39.6668,80.31,68,2,16.44
