City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
268,Alyangula,AU,78.98,clear sky,-13.8483,136.4192,Groote Eylandt Lodge
272,Santa Cruz,BO,77.05,clear sky,-17.8,-63.1667,Aviador Hotel Boutique
273,Noumea,NC,77.0,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
279,Soyo,AO,75.87,clear sky,-6.1349,12.3689,Hotel Mpampa
283,Tual,ID,83.52,few clouds,-5.6667,132.75,Grand Vilia Hotel
289,Yara,CU,91.54,overcast clouds,20.2753,-76.9533,Casa de Margarita Puebla Lorente
293,Ambon,ID,75.34,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
294,Alugan,PH,79.93,overcast clouds,12.2188,125.4808,JM Lodge
295,Bang Lamung,TH,83.57,overcast clouds,13.047,100.9289,เซอรีน แซนด์ส เฮลท์ รีสอร์ท - Serene Sands Health Resort
301,Denpasar,ID,80.26,scattered clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
302,Moratuwa,LK,78.19,scattered clouds,6.773,79.8816,Sa Mansion By Yoho
305,Touros,BR,79.18,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
307,Palmer,US,77.38,few clouds,42.1584,-72.3287,Wedgewood Motel
309,Topolobampo,MX,81.1,clear sky,25.6,-109.05,Hotel Marina Topolobampo
311,Garowe,SO,86.49,broken clouds,8.4054,48.4845,Curubo Hotel
312,Kavieng,PG,81.99,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
315,Isangel,VU,78.69,overcast clouds,-19.55,169.2667,Tanna Lodge
318,Bandarbeyla,SO,80.42,overcast clouds,9.4942,50.8122,JABIR HOTEL
320,Marion,US,88.48,broken clouds,39.7684,-86.1555,Hilton Garden Inn Indianapolis Downtown
322,Langsa,ID,76.08,overcast clouds,4.4683,97.9683,OYO 3328 Hotel Mori
330,Caibarien,CU,86.2,scattered clouds,22.5206,-79.4669,La Nena
331,Eyl,SO,81.23,scattered clouds,7.9803,49.8164,Amiin Hotel
333,Puerto Madero,MX,86.2,broken clouds,14.7208,-92.4215,DEPARTAMENTOS LA ESTANCIA
341,Hobyo,SO,79.56,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
342,Saint-Georges,GD,80.91,clear sky,12.0564,-61.7485,Radisson Grenada Beach Resort
345,Oistins,BB,79.84,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
349,San Andres,CO,82.47,overcast clouds,12.5847,-81.7006,Hotel Arena Blanca
351,Olinda,BR,78.53,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
357,Bubaque,GW,79.25,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
362,Tiruvannamalai,IN,82.65,overcast clouds,12.2167,79.0667,Hotel Aakash
366,Sumenep,ID,79.56,moderate rain,-7.0167,113.8667,OYO 3271 Homestay Pandian
369,Balsas,BR,77.56,scattered clouds,-7.5325,-46.0356,Novo Hotel
373,Quatre Cocos,MU,76.08,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
375,Celestun,MX,84.96,overcast clouds,20.8667,-90.4,Posada Lilia
377,Pangai,TO,78.03,overcast clouds,-19.8,-174.35,Ha'apai Beach Resort
380,Roma,US,81.37,few clouds,43.2128,-75.4557,Wingate By Wyndham Rome
382,Boa Vista,BR,85.98,few clouds,2.8197,-60.6733,Aipana Plaza Hotel
384,Labuhan,ID,76.91,light rain,-6.8844,112.2051,DoubleFAG
387,Honiara,SB,79.68,clear sky,-9.4333,159.95,Heritage Park Hotel
394,Sola,VU,81.86,few clouds,-13.8833,167.55,Leumerus Bungalows
407,Kalmunai,LK,80.92,broken clouds,7.4167,81.8167,VS Villa
408,Manokwari,ID,77.88,few clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
410,Birnin Kebbi,NG,92.93,scattered clouds,12.4539,4.1975,Saffar Guest Inn Ltd
